SIN,nct_id,filename
NN1250-3585,NCT01074268,novo-NN1250-3585.pdf
CQAB149B2354,NCT01072448,CQAB149B2354-4282.pdf
NN1250-3724,NCT01068678,novo-NN1250-3724.pdf
NN1250-3672,NCT01068665,novo-NN1250-3672.pdf
CQAB149B2355,NCT01068600,CQAB149B2355-4283.pdf
NN5401-3597,NCT01059812,novo-NN5401-3597.pdf
NN1250-3586,NCT01059799,novo-NN1250-3586.pdf
NN1250-3580,NCT01046110,novo-NN1250-3580.pdf
NN5401-3593,NCT01045447,novo-NN5401-3593.pdf
CSPP100AFR01,NCT01042392,CSPP100AFR01-4983.pdf
CLCZ696B2314,NCT01035255,CLCZ696B2314-13786.pdf
NN1250-3668,NCT01006291,novo-NN1250-3668.pdf
CNVA237A2304,NCT01005901,CNVA237A2304-4863.pdf
CVAA489A2317,NCT01001572,CVAA489A2317-4082.pdf
NN1250-3583,NCT00982228,novo-NN1250-3583.pdf
NN1250-3582,NCT00972283,novo-NN1250-3582.pdf
CSPA100AUS02,NCT00942994,CSPA100AUS02-3962.pdf
CVEA489AUS01,NCT00931710,CVEA489AUS01-3740.pdf
CNVA237A2303,NCT00929110,CNVA237A2303-6884.pdf
CSPV100AUS02,NCT00927394,CSPV100AUS02-7183.pdf
NN304-1768,NCT00909480,novo-NN304-1768.pdf
CVAL489AAU01,NCT00902304,CVAL489AAU01-6723.pdf
CQAB149B2350,NCT00900731,CQAB149B2350-3902.pdf
CACZ885I2202,NCT00900146,CACZ885I2202-4735.pdf
CLAF237A23118,NCT00894868,CLAF237A23118-9563.pdf
CSPP100A2368,NCT00894387,CSPP100A2368-9543.pdf
CQAB149B2351,NCT00877383,CQAB149B2351-3903.pdf
CSPP100A2408,NCT00865020,CSPP100A2408-4311.pdf
CLAF237B2224,NCT00860288,CLAF237B2224-5663.pdf
NN2211-1842,NCT00856986,novo-NN2211-1842.pdf
CSPA100AUS01,NCT00853957,CSPA100AUS01-3224.pdf
CSPP100A2366,NCT00853827,CSPP100A2366-10963.pdf
CSPP100F2301,NCT00853658,CSPP100F2301-15328.pdf
CQAB149B2341,NCT00846586,CQAB149B2341-3901.pdf
CQAB149B2348,NCT00845728,CQAB149B2348-9243.pdf
CSPA100A2306,NCT00841672,CSPA100A2306-3380.pdf
CLAF237A23140,NCT00822211,CLAF237A23140-3760.pdf
CLAF237B2201,NCT00821977,CLAF237B2201-4586.pdf
CQAB149B2349,NCT00821093,CQAB149B2349-3344.pdf
CSPV100AUS01,NCT00809926,CSPV100AUS01-3240.pdf
CSPP100A2410,NCT00797316,CSPP100A2410-3620.pdf
CQAB149B1302,NCT00794157,CQAB149B1302-3343.pdf
CQAB149B2333,NCT00792805,CQAB149B2333-3900.pdf
CSPP100A2409,NCT00787605,CSPP100A2409-3820.pdf
CSPA100A2304,NCT00778921,CSPA100A2304-3043.pdf
CSPA100A2303,NCT00777946,CSPA100A2303-2882.pdf
CSPP100AUS07,NCT00772577,CSPP100AUS07-2917.pdf
CLAF237A23137E1,NCT00765830,CLAF237A23137E1-5924.pdf
CSAH100A2302,NCT00765674,CSAH100A2302-3162.pdf
CSPP100A2411,NCT00760266,CSPP100A2411-2943.pdf
CSPA100A2305,NCT00739973,CSPA100A2305-3000.pdf
CSPP100AUS03,NCT00739596,CSPP100AUS03-2916.pdf
CFTY720D2306,NCT00731692,CFTY720D2306-15030.pdf
CLMF237A2309,NCT00728351,CLMF237A2309-3860.pdf
CSPP100A2405,NCT00706134,CSPP100A2405-2933.pdf
CSPP100A2353,NCT00705575,CSPP100A2353-2930.pdf
NN2211-1860,NCT00700817,novo-NN2211-1860.pdf
CVAA489A2318,NCT00699192,CVAA489A2318-2962.pdf
CVAH631BUS08,NCT00698646,CVAH631BUS08-3023.pdf
CVAA489AFR02,NCT00687973,CVAA489AFR02-2858.pdf
CQAB149B2335SE,NCT00677807,CQAB149B2335SE-2911.pdf
CSPP100A2404,NCT00631917,CSPP100A2404-3340.pdf
CQAB149B2346,NCT00624286,CQAB149B2346-2674.pdf
NN2211-1796,NCT00614120,novo-NN2211-1796.pdf
CQAB149B2336,NCT00567996,CQAB149B2336-2848.pdf
CSPP100E2337,NCT00549757,CSPP100E2337-11063.pdf
CQAB149B2338,NCT00529529,CQAB149B2338-2743.pdf
CSPP100A2339,NCT00529451,CSPP100A2339-2677.pdf
NN2211-1797,NCT00518882,novo-NN2211-1797.pdf
CZOL446HUS136,NCT00489424,CZOL446HUS136-2594.pdf
CCOX189A2361E1,NCT00476034,CCOX189A2361E1-1882.pdf
NN304-1687,NCT00474045,novo-NN304-1687.pdf
CMEX839BDE03,NCT00451412,CMEX839BDE03-3101.pdf
CVAH631BUS06,NCT00439738,CVAH631BUS06-2574.pdf
CZOL446M2309,NCT00439647,CZOL446M2309-4646.pdf
CZOL446H2409,NCT00439244,CZOL446H2409-2856.pdf
CVAH631BUS07,NCT00425997,CVAH631BUS07-2543.pdf
CVAA489A1301,NCT00425373,CVAA489A1301-2633.pdf
CENA713D1301E1,NCT00423085,CENA713D1301E1-4162.pdf
CSPP100A2340,NCT00414609,CSPP100A2340-3423.pdf
CVAA489A2316,NCT00413413,CVAA489A2316-2582.pdf
CVAA489A2315,NCT00413049,CVAA489A2315-2579.pdf
CVAA489A2201,NCT00409760,CVAA489A2201-2488.pdf
CVAA489A2307,NCT00409643,CVAA489A2307-2478.pdf
CZOL446HDE31,NCT00404820,CZOL446HDE31-2881.pdf
CVEA489ABR01,NCT00400777,CVEA489ABR01-2527.pdf
NN4440-1794,NCT00399711,novo-NN4440-1794.pdf
CLAF237A23104,NCT00396357,CLAF237A23104-2654.pdf
CLAF237A23119,NCT00396227,CLAF237A23119-2567.pdf
NN2211-1700,NCT00393718,novo-NN2211-1700.pdf
CQAB149B2334,NCT00393458,CQAB149B2334-2678.pdf
CSPP100A2333,NCT00387517,CSPP100A2333-2531.pdf
CSPP100A2332,NCT00386139,CSPP100A2332-2530.pdf
CVAS489A2301,NCT00385931,CVAS489A2301-2138.pdf
CLAF237A2398,NCT00383578,CLAF237A2398-2652.pdf
CLMF237A2302,NCT00382096,CLMF237A2302-2650.pdf
CSPP100A2344,NCT00368277,CSPP100A2344-2611.pdf
CLAF237A1301,NCT00368134,CLAF237A1301-2524.pdf
CCOX189A2360,NCT00366938,CCOX189A2360-1553.pdf
CVAA489A2402,NCT00353912,CVAA489A2402-2528.pdf
CLAF237A23103,NCT00351884,CLAF237A23103-2586.pdf
CVAA489A2403,NCT00350168,CVAA489A2403-2509.pdf
CSPP100A1301,NCT00344110,CSPP100A1301-2494.pdf
CSPP100A2351,NCT00343551,CSPP100A2351-2508.pdf
CVAL489ABR02,NCT00333489,CVAL489ABR02-2175.pdf
NN2211-1574,NCT00333151,novo-NN2211-1574.pdf
NN2211-1697,NCT00331851,novo-NN2211-1697.pdf
CVAA489A2401,NCT00327145,CVAA489A2401-2429.pdf
NN2211-1572,NCT00318461,novo-NN2211-1572.pdf
NN2211-1436,NCT00318422,novo-NN2211-1436.pdf
CMEX839BDE02,NCT00311753,CMEX839BDE02-2951.pdf
CVAH631B1303,NCT00311740,CVAH631B1303-2403.pdf
NN2211-1573,NCT00294723,novo-NN2211-1573.pdf
CSPP100A2323E,NCT00294710,CSPP100A2323E-2384.pdf
CVAH631BUS05,NCT00280540,CVAH631BUS05-2387.pdf
CVAH631BUS04,NCT00277472,CVAH631BUS04-2437.pdf
NN304-1657,NCT00274274,novo-NN304-1657.pdf
CVAH631D2301,NCT00273299,CVAH631D2301-2406.pdf
CCOX189A2428,NCT00267176,CCOX189A2428-2376.pdf
NN304-1720,NCT00264901,novo-NN304-1720.pdf
CIGE025A2425,NCT00264849,CIGE025A2425-2754.pdf
CSPP100A2304,NCT00262236,CSPP100A2304-2389.pdf
CSPP100A2328,NCT00260923,CSPP100A2328-2400.pdf
CLAF237A2354,NCT00237237,CLAF237A2354-2539.pdf
CIGE025A1304,NCT00232050,CIGE025A1304-2197.pdf
CSPP100A2331,NCT00219193,CSPP100A2331-2436.pdf
CSPP100A2327,NCT00219180,CSPP100A2327-2365.pdf
CSPP100A2324,NCT00219167,CSPP100A2324-2296.pdf
CSPP100A2316,NCT00219141,CSPP100A2316-2588.pdf
CSPP100A2308,NCT00219128,CSPP100A2308-2204.pdf
CSPP100A2309,NCT00219115,CSPP100A2309-2295.pdf
CSPP100A2310,NCT00219102,CSPP100A2310-2521.pdf
CSPP100A2307,NCT00219089,CSPP100A2307-2202.pdf
CSPP100A2305,NCT00219076,CSPP100A2305-2205.pdf
CSPP100A2306,NCT00219063,CSPP100A2306-2304.pdf
CSPP100A2302,NCT00219037,CSPP100A2302-2281.pdf
CSPP100A2204,NCT00219024,CSPP100A2204-2487.pdf
NN304-1595,NCT00184665,novo-NN304-1595.pdf
COLO400A2419,NCT00171496,COLO400A2419-2155.pdf
CCIB002H2304,NCT00171366,CCIB002H2304-2194.pdf
CXUO320BCZ01,NCT00171275,CXUO320BCZ01-3667.pdf
CDAR328A2409,NCT00171184,CDAR328A2409-2354.pdf
CDAR328A2401,NCT00171145,CDAR328A2401-2043.pdf
CVAS489A2316,NCT00171093,CVAS489A2316-2410.pdf
CVAA489A2306,NCT00171002,CVAA489A2306-2844.pdf
CVAH631C2302,NCT00170989,CVAH631C2302-2182.pdf
CVAA489A2305,NCT00170963,CVAA489A2305-2843.pdf
CCIB002I2301,NCT00170950,CCIB002I2301-2612.pdf
CVAH631DUS02,NCT00154271,CVAH631DUS02-2196.pdf
CCOX189A2367,NCT00154219,CCOX189A2367-2394.pdf
CZOL446H2301E1,NCT00145327,CZOL446H2301E1-3662.pdf
CCOX189A2369,NCT00145301,CCOX189A2369-2246.pdf
CLAF237A2327E1,NCT00138619,CLAF237A2327E1-2449.pdf
CLAF237A2305E1,NCT00138580,CLAF237A2305E1-2322.pdf
CLAF237A2309E1,NCT00138567,CLAF237A2309E1-2363.pdf
CLAF237A2301E1,NCT00138541,CLAF237A2301E1-2311.pdf
CLAF237A2303E1,NCT00138515,CLAF237A2303E1-2301.pdf
CXUO320B2302,NCT00136799,CXUO320B2302-2446.pdf
CCIB002FUS12,NCT00136773,CCIB002FUS12-2414.pdf
CFOR258F2402,NCT00134979,CFOR258F2402-2303.pdf
CLAF237A2323,NCT00110240,CLAF237A2323-2428.pdf
CLAF237A2308,NCT00106340,CLAF237A2308-2649.pdf
CLAF237A2338,NCT00102466,CLAF237A2338-2851.pdf
CLAF237A2355,NCT00101803,CLAF237A2355-2284.pdf
CZOL446O2306,NCT00100620,CZOL446O2306-2456.pdf
CLAF237A2304,NCT00099853,CLAF237A2304-2286.pdf
CELC200A2401,NCT00099268,CELC200A2401-2791.pdf
CENA713D2320,NCT00099242,CENA713D2320-2255.pdf
CENA713BIA05,NCT00099216,CENA713BIA05-2240.pdf
CDJN608B2302,NCT00097786,CDJN608B2302-3223.pdf
CIGE025A2306,NCT00046748,CIGE025A2306-1601.pdf
NN9068-3697,NCT01336023,novo-NN9068-3697.pdf
NN5401-3598,NCT02762578,novo-NN5401-3598.pdf
CAIN457F2302/E1,NCT01377012,CAIN457F2302#E1-14947.pdf
CCOX189A2361,NCT00367315,CCOX189A2361-1552.pdf
CENA713D1301,NCT00423085,CENA713D1301-4162.pdf
CLAF237A2301,NCT00099905,CLAF237A2301-2276.pdf
CLAF237A2303,NCT00099892,CLAF237A2303-2283.pdf
CLAF237A2305,NCT00099944,CLAF237A2305-2274.pdf
CLAF237A2309,NCT00099866,CLAF237A2309-2275.pdf
CLAF237A2310,NCT00102388,CLAF237A2310-2634.pdf
CLAF237A23137,NCT00646542,CLAF237A23137-4598.pdf
CLAF237A2327,NCT00099918,CLAF237A2327-2282.pdf
CQAB149B2335S,NCT00463567,CQAB149B2335S-2744.pdf
CSPP100A2323,NCT00219154,CSPP100A2323-2384.pdf
CZOL446H2301,NCT00049829,CZOL446H2301-2323.pdf
102871,NCT01009463,102871.pdf.decoded.pdf
102970,NCT01017952,102970.pdf.decoded.pdf
103413,NCT00064428,103413.pdf.decoded.pdf
103414,NCT00038961,103414.pdf.decoded.pdf
103420,NCT00139815,103420.pdf.decoded.pdf
106827,NCT01165138,106827.pdf.decoded.pdf
106829,NCT01134042,106829.pdf.decoded.pdf
106837,NCT01086384,106837.pdf.decoded.pdf
106839,NCT01018186,106839.pdf.decoded.pdf
108486,NCT00976391,108486.pdf.decoded.pdf
110948,NCT00792636,110948.pdf.decoded.pdf
111569,NCT01494532,111569.pdf.decoded.pdf
112059,NCT01159912,112059.pdf.decoded.pdf
112060,NCT01181895,112060.pdf.decoded.pdf
112341,NCT01484496,112341.pdf.decoded.pdf
112352,NCT01323621,112352.pdf.decoded.pdf
112753,NCT00838903,112753.pdf.decoded.pdf
112754,NCT00838916,112754.pdf.decoded.pdf
112755,NCT00849056,112755.pdf.decoded.pdf
112756,NCT00849017,112756.pdf.decoded.pdf
112757,NCT00839527,112757.pdf.decoded.pdf
112989,NCT00984659,112989.pdf.decoded.pdf
113108,NCT01336608,113108.pdf.decoded.pdf
113109,NCT01323634,113109.pdf.decoded.pdf
113121,NCT01733758,113121.pdf.decoded.pdf
113359,NCT01316887,113359.pdf.decoded.pdf
113684,NCT01376245,113684.pdf.decoded.pdf
113714,NCT01498653,113714.pdf.decoded.pdf
113719,NCT01498679,113719.pdf.decoded.pdf
113782,NCT01313676,113782.pdf.decoded.pdf
113874,NCT01110200,113874.pdf.decoded.pdf
114130,NCT01098539,114130.pdf.decoded.pdf
114179,NCT01128894,114179.pdf.decoded.pdf
114615,NCT01294592,114615.pdf.decoded.pdf
114634,NCT01636713,114634.pdf.decoded.pdf
114930,NCT01817764,114930.pdf.decoded.pdf
114951,NCT01879410,114951.pdf.decoded.pdf
115150,NCT01706198,115150.pdf.decoded.pdf
115285,NCT01436110,115285.pdf.decoded.pdf
115359,NCT01475721,115359.pdf.decoded.pdf
115588,NCT01691521,115588.pdf.decoded.pdf
115805,NCT01627327,115805.pdf.decoded.pdf
116134,NCT01822899,116134.pdf.decoded.pdf
116135,NCT01772134,116135.pdf.decoded.pdf
116136,NCT01772147,116136.pdf.decoded.pdf
116170,NCT01777282,116170.pdf.decoded.pdf
116197,NCT02145468,116197.pdf.decoded.pdf
116853,NCT02345161,116853.pdf.decoded.pdf
116960,NCT01899742,116960.pdf.decoded.pdf
116961,NCT02257385,116961.pdf.decoded.pdf
116974,NCT01706328,116974.pdf.decoded.pdf
117115,NCT01777334,117115.pdf.decoded.pdf
200109,NCT01957163,200109.pdf.decoded.pdf
200110,NCT02119286,200110.pdf.decoded.pdf
200820,NCT02105974,200820.pdf.decoded.pdf
200862,NCT02281318,200862.pdf.decoded.pdf
201135,NCT02094937,201135.pdf.decoded.pdf
201211,NCT02152605,201211.pdf.decoded.pdf
201315,NCT02236611,201315.pdf.decoded.pdf
201316,NCT02207829,201316.pdf.decoded.pdf
201378,NCT02301975,201378.pdf.decoded.pdf
49653/347,NCT00329225,49653-347.pdf.decoded.pdf
ADA103575,NCT00296491,ADA103575.pdf.decoded.pdf
ADA103578,NCT00296530,ADA103578.pdf.decoded.pdf
ADA109055,NCT00452699,ADA109055.pdf.decoded.pdf
ADA109057,NCT00452348,ADA109057.pdf.decoded.pdf
ARI40005,NCT00090103,ARI40005.pdf.decoded.pdf
AVA102672,NCT00348309,AVA102672.pdf.decoded.pdf
AVD100521,NCT00116831,AVD100521.pdf.decoded.pdf
AVD104742,NCT00297063,AVD104742.pdf.decoded.pdf
AVT105913,NCT00386100,AVT105913.pdf.decoded.pdf
brl49653-137,NCT00500955,brl49653-137.pdf.decoded.pdf
CFD105453,NCT00347360,CFD105453.pdf.decoded.pdf
COR103560,NCT00123903,COR103560.pdf.decoded.pdf
COR103561,NCT00273052,COR103561.pdf.decoded.pdf
COR111096,NCT00624065,COR111096.pdf.decoded.pdf
FFR106080,NCT00289198,FFR106080.pdf.decoded.pdf
FFR30003,NCT00115622,FFR30003.pdf.decoded.pdf
FFR30007,NCT00118703,FFR30007.pdf.decoded.pdf
FFU109045,NCT00435461,FFU109045.pdf.decoded.pdf
FFU109047,NCT00502775,FFU109047.pdf.decoded.pdf
FRX106365,NCT00312013,FRX106365.pdf.decoded.pdf
101468/169,NCT00381472,gsk-101468-169.pdf.decoded.pdf
101468/204,NCT00314860,gsk-101468-204.pdf.decoded.pdf
101468/205,NCT00197080,gsk-101468-205.pdf.decoded.pdf
101468/249,NCT00363857,gsk-101468-249.pdf.decoded.pdf
105517/346,NCT00060918 ,gsk-105517-346-347.pdf.decoded.pdf
105517/347,NCT00060931,gsk-105517-346-347.pdf.decoded.pdf
105517-346/347,NA,gsk-105517-346-347.pdf.decoded.pdf
49653/048,NCT00279045,gsk-49653-048.pdf.decoded.pdf
49653/284,NCT00501020,gsk-49653-284.pdf.decoded.pdf
49653/334,NCT00306644,gsk-49653-334.pdf.decoded.pdf
49653/342,NCT00306696,gsk-49653-342.pdf.decoded.pdf
712753/007,NCT00499707,gsk-712753-007.pdf.decoded.pdf
ava102670,NCT00348140,gsk-ava102670.pdf.decoded.pdf
brl-049653-231,NCT00379769,gsk-brl-049653-231.pdf.decoded.pdf
sco30003,NCT00268216,gsk-sco30003.pdf.decoded.pdf
VRX-RET-E22-301,NCT00232596,gsk-VRX-RET-E22-301.pdf.decoded.pdf
VRX-RET-E22-302,NCT00235755,gsk-VRX-RET-E22-302.pdf.decoded.pdf
OM8 Afib,NCT00402363,OM8 Afib.pdf.decoded.pdf
ROR104836,NCT00329602,ROR104836.pdf.decoded.pdf
SAM40056,NCT00479739,SAM40056.pdf.decoded.pdf
SAM40065,NCT01324362,SAM40065.pdf.decoded.pdf
SAM40086,NCT00920543,SAM40086.pdf.decoded.pdf
SCO100250,NCT00115492,SCO100250.pdf.decoded.pdf
SCO40036,NCT00361959,SCO40036.pdf.decoded.pdf
SCO40043,NCT00144911,SCO40043.pdf.decoded.pdf
SFA100062,NCT00102882,SFA100062.pdf.decoded.pdf
SFA103153,NCT00102765,SFA103153.pdf.decoded.pdf
